Income,Age,LoanAmount,CreditHistory,ExistingDebts,Score
188451,59,34725,1,1,Good
110700,60,16664,1,4,Good
55849,28,37377,0,6,Average
171942,24,33493,1,8,Good
162977,78,24649,1,1,Good
128596,55,14283,0,0,Average
126392,65,7734,1,9,Good
180197,70,33938,1,9,Good
63933,79,16732,1,0,Good
30037,28,21101,1,9,Average
44885,49,33995,0,0,Average
184523,68,45605,1,8,Good
155604,30,45472,1,4,Good
167562,46,30932,1,0,Good
103419,30,13809,0,4,Average
72132,79,33457,1,4,Good
191379,20,10793,0,2,Average
87375,75,22311,1,6,Good
155167,22,14910,1,6,Good
198643,76,15570,1,8,Good
131524,51,17134,1,0,Good
132085,73,33934,1,2,Good
106836,68,16265,0,1,Average
186166,62,32420,1,4,Good
93586,78,30418,0,8,Average
41265,26,13879,1,9,Average
159960,39,30502,1,4,Good
115956,37,21575,1,0,Good
72178,63,42526,1,7,Good
162636,64,5189,0,2,Average
22336,29,26845,1,2,Poor
40911,36,37838,0,3,Average
79504,76,42180,1,2,Good
32825,78,6998,0,7,Average
98782,45,8730,1,8,Good
66423,20,7480,0,1,Average
168567,52,16937,1,2,Good
120502,61,39190,1,8,Good
120431,55,38721,1,9,Good
127527,35,19833,1,4,Good
33061,48,44609,1,4,Average
86164,27,48816,1,4,Good
84963,44,40872,1,4,Good
93904,45,40816,1,2,Good
142989,30,9323,1,4,Good
50316,43,27378,1,7,Good
58113,58,13381,0,3,Average
42733,24,43807,0,0,Average
111692,30,17561,1,8,Good
96494,78,11477,1,3,Good
191024,60,6121,1,1,Good
63538,31,43096,0,4,Average
166773,63,2398,1,4,Good
30819,20,3988,1,4,Average
98326,19,49949,1,5,Good
44050,18,46535,0,0,Average
183532,32,14380,0,6,Average
169563,32,27820,1,1,Good
49390,28,34491,0,7,Average
120394,57,12783,1,0,Good
194321,78,22055,1,1,Good
47429,56,14369,1,2,Average
41384,18,18978,1,6,Average
65653,54,43407,0,0,Average
84770,72,42155,1,0,Good
118893,67,31827,1,1,Good
39283,22,6984,1,7,Average
191455,49,32869,1,5,Good
132694,24,17127,1,1,Good
162408,76,33034,1,9,Good
129583,31,19132,0,6,Average
85817,55,43176,1,0,Good
192588,24,28258,0,1,Average
127362,78,36277,1,7,Good
117504,20,6976,0,7,Average
83929,28,15890,1,4,Good
116549,77,49794,1,2,Good
198516,62,8762,1,7,Good
123911,67,42338,1,5,Good
154503,21,27500,1,1,Good
125582,47,29828,1,2,Good
156294,32,48567,1,5,Good
176602,30,48824,1,2,Good
35566,74,49271,1,5,Average
148796,53,33434,1,1,Good
83145,40,4230,0,2,Average
74917,20,33127,0,6,Average
167325,69,6699,0,9,Average
32313,44,28208,1,3,Average
172588,58,44836,1,2,Good
142916,42,29313,1,3,Good
42319,69,20588,1,4,Average
58100,59,24303,1,4,Good
112187,59,45478,1,5,Good
109592,67,35272,1,8,Good
181207,26,17414,1,4,Good
55209,48,35180,1,1,Good
178044,74,46019,1,7,Good
54893,70,1427,1,8,Good
160381,40,24113,1,3,Good
51720,46,27650,1,5,Good
26288,78,30406,1,4,Poor
58271,48,28813,1,8,Good
99152,79,16369,1,1,Good
31422,71,26387,1,3,Average
52634,46,27920,0,0,Average
195582,18,40046,1,4,Good
166512,77,46051,1,0,Good
137581,30,29525,1,3,Good
104493,18,22517,0,5,Average
174612,56,11206,0,9,Average
67580,23,29686,1,5,Good
181700,61,4715,1,5,Good
171314,52,29833,0,6,Average
100121,32,45392,1,3,Good
88852,74,28793,1,1,Good
78795,65,37877,1,1,Good
42615,51,16590,1,1,Average
22920,28,32297,0,4,Poor
113450,45,12822,1,4,Good
71969,24,24819,0,2,Average
115257,38,3489,1,9,Good
172016,79,35491,0,8,Average
28730,31,14165,1,4,Poor
176961,54,25086,1,2,Good
165852,75,26746,1,4,Good
116995,75,6348,1,4,Good
44315,78,15241,1,5,Average
165242,23,5408,1,0,Good
194807,76,49152,1,1,Good
55372,24,32530,1,3,Good
163484,75,16921,1,0,Good
115462,21,23915,1,6,Good
128341,35,30559,1,1,Good
169092,65,28435,1,4,Good
169871,40,2300,0,3,Average
92862,28,30740,1,3,Good
167591,28,38701,1,0,Good
158134,53,48690,1,9,Good
154792,55,37194,1,7,Good
28565,66,48902,0,1,Poor
135430,34,11621,1,2,Good
134325,18,13032,1,5,Good
120898,33,26803,1,8,Good
57242,28,7147,1,5,Good
151887,18,19077,0,8,Average
31811,52,25132,1,4,Average
106824,52,34365,1,9,Good
190401,26,45724,1,6,Good
86159,25,49686,1,4,Good
164130,69,12957,0,8,Average
38187,45,43163,1,1,Average
176431,72,44738,1,1,Good
115468,45,17955,1,2,Good
49551,66,8854,1,1,Average
60878,31,30615,1,1,Good
166110,71,32949,1,6,Good
114830,27,42974,1,2,Good
71351,52,6475,1,8,Good
82072,60,29170,1,1,Good
32185,49,9220,0,3,Average
60586,71,41092,1,2,Good
116270,57,30515,1,7,Good
58531,26,10319,1,2,Good
62810,31,37438,1,9,Good
102377,78,25622,1,6,Good
80757,40,23584,0,6,Average
193680,67,18394,1,9,Good
59969,50,6737,1,2,Good
30311,66,20625,1,2,Average
140180,74,18829,0,8,Average
26067,24,39850,1,7,Poor
57160,33,8205,1,5,Good
73596,53,27751,0,5,Average
177174,68,34645,1,9,Good
39289,35,48590,1,1,Average
197776,57,37954,1,4,Good
27762,69,39088,1,7,Poor
174995,54,4153,1,2,Good
34885,22,1179,1,8,Average
20526,78,37785,1,1,Poor
102443,54,1932,1,1,Good
107742,64,18404,1,4,Good
63532,79,3207,1,0,Good
95763,56,16207,1,5,Good
82260,44,18275,0,6,Average
37859,48,47660,1,0,Average
61462,29,5904,1,2,Good
35315,78,38733,0,3,Average
119570,53,47021,1,7,Good
37125,51,37083,1,4,Average
171761,60,30706,1,5,Good
195119,20,40191,1,0,Good
188222,65,44250,1,1,Good
74092,37,1939,1,6,Good
59844,73,43466,1,2,Good
50994,66,37422,1,1,Good
38722,48,3684,1,4,Average
116363,30,8875,1,3,Good
53564,36,9421,1,3,Good
175369,20,27775,1,6,Good
82138,20,27930,1,1,Good
115593,48,24804,1,7,Good
136834,51,33416,0,0,Average
108207,57,36979,1,3,Good
123329,27,22820,1,1,Good
198346,26,46169,1,9,Good
44325,19,31349,1,4,Average
97794,78,45387,1,7,Good
153328,61,3938,1,5,Good
119722,71,35092,1,8,Good
105603,19,6127,1,7,Good
74029,19,42980,1,5,Good
75323,58,30386,1,6,Good
147543,27,47702,1,2,Good
61679,36,48509,0,2,Average
148081,21,29672,0,3,Average
60299,71,34430,0,7,Average
34350,54,41944,1,5,Average
171703,21,23858,1,9,Good
187466,52,26001,1,0,Good
190152,26,46286,1,5,Good
146434,78,18421,1,2,Good
90320,49,38615,1,7,Good
93984,63,35818,1,5,Good
28494,47,37119,1,5,Poor
146103,18,9535,1,6,Good
117304,24,23877,1,6,Good
33781,64,5557,1,3,Average
126401,67,22146,0,7,Average
152003,25,2256,1,1,Good
168556,57,45752,1,2,Good
104754,40,4089,1,6,Good
45562,26,25113,0,5,Average
31206,73,49236,1,2,Average
47439,60,8203,0,8,Average
155529,57,20720,0,0,Average
25193,41,18524,0,0,Poor
43311,47,29347,1,7,Average
32402,72,5926,0,9,Average
180709,63,1969,1,1,Good
122781,63,33691,1,1,Good
160810,56,28152,1,3,Good
105612,66,15870,1,0,Good
174169,51,44282,1,9,Good
75236,22,11645,1,7,Good
49468,51,7398,1,0,Average
167603,33,5439,1,1,Good
197714,52,25303,0,1,Average
30044,43,6713,1,7,Average
192394,67,46845,1,7,Good
30003,48,10245,1,4,Average
66367,18,28316,1,0,Good
146808,74,36141,1,0,Good
22181,56,22808,1,7,Poor
192866,29,31814,1,8,Good
21661,38,39244,1,6,Poor
115298,19,31112,0,5,Average
107585,54,9428,1,0,Good
128353,43,39372,1,3,Good
163485,55,35361,1,4,Good
95768,69,32737,1,8,Good
64741,25,45109,1,0,Good
75546,67,23426,1,7,Good
124891,54,29932,1,5,Good
68956,68,22756,0,8,Average
84395,18,1228,1,9,Good
116849,57,24672,1,4,Good
148987,43,44177,0,9,Average
43659,73,12477,1,6,Average
44664,31,7329,1,3,Average
83547,79,13177,1,3,Good
103654,40,35778,1,2,Good
53174,52,19678,0,6,Average
161181,36,32550,1,9,Good
118843,20,13844,1,1,Good
102431,76,36213,1,4,Good
79055,53,37007,1,5,Good
129557,48,48062,1,7,Good
171986,25,38377,1,5,Good
89590,25,16153,1,6,Good
29132,52,37116,1,5,Poor
77376,46,18561,1,3,Good
